BANK_CODE,BANK_NAME
L-42357,TIMIOS INC (MAYBE CARRINGTON MORTGAGE SERVICES)
L-75440,BAYVIEW LOAN SERVICING 
9-12141,BSI FINANCIAL SERVICES (MAYBE DOVENMUEHLE MORTGAGE  IN)
9-10498,VALLEY NATIONAL BANK
9-11085,BAYVIEW LOAN SERVICING  (NOTE JUST WAS IN CITY IN REM AUCTION)
L-40235,STATE DEPARTMENT FEDERAL
9-10722,ESL FEDERAL CREDIT UNION
9-11088,QUICKEN LOANS
9-12268,CARRINGTON MORTGAGE SERVI (MAYBE BANK OF AMERICA)
OT-0092,UNKNOWN
9-08142,HOWARD BANK
9-10977,PENNYMAC
9-11740,SELENE FINANCE LP (MAYBE MIDLAND MORTGAGE)
9-47458,US BANK HOME MORTGAGE/US
9-10185,FREEDOM MORTGAGE
9-12030,US BANK TRUST NA (CURRENTLY OWNED BY US BANK TRUST NA)
OT-0032,PHH MORTGAGE (MAYBE HSBC)
L-28135,LERETA LLC
9-10536,CATTARAUGUS COUNTY BANK
9-10724,CONGRESSIONAL BANK
9-31455,DITECH FINANCIAL  LLC MB FINANCIAL BANK  N.A. (BOLAND & FIJAS) CHASE (YEMMA)
OT-0027,UNKNOWN
L-75110,BARRINGTON BANK & TRUST C
OT-0147,(MAYBE BANK OF AMERICA C/O HOME)
9-11785,DITECH FINANCIAL  LLC (G
9-15114,CITIMORTGAGE  INC.
9-54608,REGIONS MORTGAGE
L-65311,"REVERSE MORTGAGE SERVICES DEPT (MAYBE FINANCIAL FREEDOM ACQUISITION LLC)
"
OT-0003,UNKNOWN
9-10230,PROVIDENT FUNDING
L-42560,PLANET HOME LENDING
9-00108,THE AMALGAMATED BANK OF
9-11186,STATE FARM BANK FSB
L-64101,CENTRAL MORTGAGE CO.
9-29444,HUDSON VALLEY CREDIT UNI
9-29585,FIDELITY BANK
L-79026,GREGORY FUNDING LLC
L-41645,TOGETHER CREDIT UNION
L-43845,HOME LOAN INVESTMENT BANK
OT-0193,UNKNOWN
9-92242,PHH MORTGAGE
OT-0189,21ST MORTGAGE CORP
OT-0319,CITY OF BUFFALO PERFECTING
